dataset,class,filename,path,width,height,brightness,contrast,blur_score,overexposed_percent,dark_percent,hash,flags
train,healthy_nails,000040.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000040.jpg,224,224,186.97,50.0,72.97,16.68,0.0,677243887bb6ecf1eeb5332eae4cbb2c,OK
train,healthy_nails,000041.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000041.jpg,224,224,214.06,49.96,151.2,46.48,0.0,0236720791e2f797d06976f148a5c1d7,OK
train,healthy_nails,000042.png,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000042.png,224,224,228.26,40.97,134.41,60.49,0.0,eba0c2372c0d19f72108ef705e4014f3,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,000047.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000047.jpg,224,224,167.91,47.29,205.67,1.96,0.19,d595d45c864c2773d4df6a4e1ae11ce6,OK
train,healthy_nails,aug_0_1006.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_1006.jpg,224,224,180.22,52.97,53.52,9.28,0.0,a41f931b3dab07e65d4508b2344c95b8,OK
train,healthy_nails,aug_0_1166.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_1166.jpg,224,224,219.4,36.38,85.78,34.06,0.0,d84d2fadcb0926b58c5c4ff78e29d110,OK
train,healthy_nails,aug_0_1204.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_1204.jpg,224,224,234.3,38.25,148.54,68.14,0.0,2c235c9731b8be8e11f5500315425a6d,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,aug_0_1206.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_1206.jpg,224,224,135.86,65.98,398.72,3.27,1.69,fa6e6215b96c9f5a581e240db5e8d714,OK
train,healthy_nails,aug_0_1352.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_1352.jpg,224,224,200.6,50.59,81.99,8.89,0.01,672275f3e57d61a91c0c126855ffcd57,OK
train,healthy_nails,aug_0_14.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_14.jpg,224,224,166.86,55.19,163.78,2.66,2.14,788be538e0355759019fd11a8ded78fb,OK
train,healthy_nails,aug_0_1516.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_1516.jpg,224,224,223.57,41.96,54.22,51.29,0.0,a6ae66dff98c65d8c8f379c703a19be2,VERY_BRIGHT
train,healthy_nails,aug_0_1613.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_1613.jpg,224,224,231.71,42.19,115.87,58.15,0.0,f9d0fd64b3df68f2b7c64def5334cb6d,VERY_BRIGHT
train,healthy_nails,aug_0_176.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_176.jpg,224,224,231.47,30.88,79.94,51.53,0.0,9e4bd4e5fb5ebca617baa570d4a8da66,VERY_BRIGHT
train,healthy_nails,aug_0_1838.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_1838.jpg,224,224,166.86,55.97,170.97,2.77,2.18,f3eadd846035d5600f6b9e76a9cd18f3,OK
train,healthy_nails,aug_0_213.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_213.jpg,224,224,180.72,66.22,156.29,26.83,0.02,f4c5dd0a7993f571295c0bb0cf6bf634,OK
train,healthy_nails,aug_0_2130.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_2130.jpg,224,224,232.09,38.35,56.94,66.77,0.0,de3f7b7202961510bc7298cefda84234,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,aug_0_2245.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_2245.jpg,224,224,135.59,69.59,336.59,3.53,2.55,49269040a68737dbab6149c472b73dd5,OK
train,healthy_nails,aug_0_2278.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_2278.jpg,224,224,176.15,59.93,94.21,8.66,0.04,daf41a42ece133e816d16231c28e7a27,OK
train,healthy_nails,aug_0_2346.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_2346.jpg,224,224,166.69,64.16,228.49,14.08,0.09,51945e5a76486bf3b7f00aae01e06019,OK
train,healthy_nails,aug_0_2374.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_2374.jpg,224,224,228.52,40.56,56.32,61.2,0.0,4809a88937317aa3956fc93a62666272,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,aug_0_2393.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_2393.jpg,224,224,171.59,65.17,275.38,14.45,1.34,99ccfda9f84a67c954d37619048803a3,OK
train,healthy_nails,aug_0_2541.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_2541.jpg,224,224,204.81,62.12,72.4,38.91,0.0,97489ba398a8bdbdba92a20105ef4ea1,OK
train,healthy_nails,aug_0_2659.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_2659.jpg,224,224,210.93,51.96,75.55,41.02,0.0,d694bbb7adb3d90afc84f43981c81403,OK
train,healthy_nails,aug_0_2729.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_2729.jpg,224,224,226.82,43.97,139.39,61.58,0.0,67994fd39599563aba9bf778030cafe1,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,aug_0_2755.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_2755.jpg,224,224,223.57,39.97,57.85,48.7,0.0,833f5ad9ecbdeac6282ca481964cba32,VERY_BRIGHT
train,healthy_nails,aug_0_2773.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_2773.jpg,224,224,149.72,49.67,471.85,5.07,0.0,ece3e4a34564a41c3399dc0945343ad5,OK
train,healthy_nails,aug_0_3334.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_3334.jpg,224,224,204.69,49.11,90.99,11.19,0.01,826fe93d321ddce2aea1469353e85937,OK
train,healthy_nails,aug_0_3341.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_3341.jpg,224,224,208.7,53.96,169.59,33.51,0.0,85048079c08840a8772575242163eb38,OK
train,healthy_nails,aug_0_3498.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_3498.jpg,224,224,180.69,52.38,50.9,15.69,0.0,75c6181720ea4363c65c27a996ab191f,OK
train,healthy_nails,aug_0_3527.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_3527.jpg,224,224,217.05,43.46,58.87,41.98,0.0,1332f3a418c12840cd5a9a536e3b02ba,OK
train,healthy_nails,aug_0_3528.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_3528.jpg,224,224,185.34,53.63,160.68,10.48,1.92,374c6dea789feb5f5a14d6d393703438,OK
train,healthy_nails,aug_0_3580.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_3580.jpg,224,224,151.17,73.03,104.94,16.57,0.0,a86c7411222b1a886ef5a8f218a2965e,OK
train,healthy_nails,aug_0_3611.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_3611.jpg,224,224,227.29,38.76,43.53,54.33,0.0,5d0a4f43051bb3f8424b606ea268ac9d,BLURRY|VERY_BRIGHT
train,healthy_nails,aug_0_3994.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_3994.jpg,224,224,196.49,51.98,143.41,13.65,0.0,573da5e18d8440b0f57feee6009e3817,OK
train,healthy_nails,aug_0_4056.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_4056.jpg,224,224,178.45,45.92,57.98,7.77,0.0,f7df02643729b801e8906226ea540773,OK
train,healthy_nails,aug_0_4077.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_4077.jpg,224,224,172.1,65.73,135.38,16.54,0.06,80e880ee1ea2f1ad4c4f497d1ccbbd5b,OK
train,healthy_nails,aug_0_4098.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_4098.jpg,224,224,185.47,50.8,64.59,6.7,0.03,3d1525bac3fab0604d14b9ca588cde49,OK
train,healthy_nails,aug_0_4107.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_4107.jpg,224,224,196.49,61.0,258.85,36.27,0.0,99d0b84b646815aacc9982c1605b1909,OK
train,healthy_nails,aug_0_434.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_434.jpg,224,224,219.19,42.86,54.27,43.73,0.0,b3471afc0d46b0d61e1e13766fcde019,OK
train,healthy_nails,aug_0_4361.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_4361.jpg,224,224,194.48,55.22,142.57,18.05,0.0,6696b8ef5a66d000640ddd4c25b608fc,OK
train,healthy_nails,aug_0_4533.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_4533.jpg,224,224,223.13,45.46,110.4,56.45,0.0,7f62f37ab96cfb0117e6859c52035b4f,VERY_BRIGHT
train,healthy_nails,aug_0_4600.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_4600.jpg,224,224,215.56,50.67,87.43,47.94,0.0,bd048f9609eb39ca7c0752e26a48f4e0,OK
train,healthy_nails,aug_0_4689.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_4689.jpg,224,224,220.64,45.5,131.29,49.99,0.0,9b09bfb38d0f0b82298784a3ae913659,VERY_BRIGHT
train,healthy_nails,aug_0_4745.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_4745.jpg,224,224,178.74,43.65,73.96,6.1,0.0,591022a18e8f8329dc4f846189a0a0ca,OK
train,healthy_nails,aug_0_4789.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_4789.jpg,224,224,150.58,71.34,149.97,12.14,0.85,071f5f54d58c9782abadf4747c735623,OK
train,healthy_nails,aug_0_487.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_487.jpg,224,224,198.26,53.79,157.93,18.93,0.0,359d79620f9bc5d610a5fe00622e9233,OK
train,healthy_nails,aug_0_4876.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_4876.jpg,224,224,202.39,50.88,162.6,28.82,0.0,3daa8e4fd16bc58fd6524410df18ff05,OK
train,healthy_nails,aug_0_502.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_502.jpg,224,224,228.51,43.78,128.8,63.66,0.0,8af7b259dc0fe38a181aff9f02552e37,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,aug_0_5038.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_5038.jpg,224,224,164.78,71.99,98.2,16.29,0.71,3989aa6834b58c80d4638e6c2d137e35,OK
train,healthy_nails,aug_0_5218.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_5218.jpg,224,224,237.86,34.86,122.39,70.86,0.0,6f1598ec06b78dffafb577f86e175692,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,aug_0_5335.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_5335.jpg,224,224,221.77,46.03,107.16,52.73,0.0,386e9aad7d978402584dd4e356521a9b,VERY_BRIGHT
train,healthy_nails,aug_0_5377.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_5377.jpg,224,224,123.23,74.91,676.33,6.35,6.24,dce97c6defebcdcc8279aa4efe877d89,OK
train,healthy_nails,aug_0_5434.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_5434.jpg,224,224,174.63,53.05,50.73,7.61,0.0,e0c22b381d5ffbf8556f5d86a25d6f01,OK
train,healthy_nails,aug_0_5664.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_5664.jpg,224,224,209.77,47.95,82.32,32.22,0.0,b3c48354c397e8c2fd6bba2baede9bc1,OK
train,healthy_nails,aug_0_57.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_57.jpg,224,224,204.99,35.23,108.22,13.58,0.0,211cea740b4be4bff4e3d5ec4f17f5b8,OK
train,healthy_nails,aug_0_5727.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_5727.jpg,224,224,229.8,31.67,78.27,48.0,0.0,967d335862665a72b5b1dec46fd3e4d8,VERY_BRIGHT
train,healthy_nails,aug_0_5908.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_5908.jpg,224,224,232.1,42.64,129.93,69.75,0.0,4fa02245ed7c0fb72e9ba66ac13199c7,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,aug_0_595.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_595.jpg,224,224,205.53,51.57,63.63,26.53,0.01,b10cae1bcadf3d6f9a3a67a749fdc228,OK
train,healthy_nails,aug_0_6118.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6118.jpg,224,224,205.05,50.1,77.85,33.76,0.12,824b68de21f53642ba7f77135025be27,OK
train,healthy_nails,aug_0_6176.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6176.jpg,224,224,186.96,53.38,80.32,9.06,0.03,ead3d8490a0e11826d24de922c254f72,OK
train,healthy_nails,aug_0_6183.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6183.jpg,224,224,207.16,54.24,77.59,22.26,0.01,10ac851eaac049c72984a692bbae4178,OK
train,healthy_nails,aug_0_63.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_63.jpg,224,224,193.24,64.85,384.93,31.32,0.45,6802266b153db941ac1a25aeab525a9a,OK
train,healthy_nails,aug_0_6339.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6339.jpg,224,224,181.07,53.38,46.81,8.8,0.0,11d41e15965476603b6182379c0024b8,BLURRY
train,healthy_nails,aug_0_6362.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6362.jpg,224,224,226.55,42.5,125.73,59.36,0.0,bf31029fe8348cb92d86286bed1421ea,VERY_BRIGHT
train,healthy_nails,aug_0_6455.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6455.jpg,224,224,196.48,66.22,235.01,41.43,0.0,51d28bc2286582891cf8a61c9c07ed41,OK
train,healthy_nails,aug_0_6467.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6467.jpg,224,224,152.72,71.28,59.29,9.41,0.0,3fea6f618836ee819a1cc2ab6c5bb562,OK
train,healthy_nails,aug_0_6517.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6517.jpg,224,224,119.63,72.35,424.57,2.65,7.67,93382733e0583da2e4fb651f88490bf3,OK
train,healthy_nails,aug_0_6548.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6548.jpg,224,224,232.56,40.45,131.1,69.3,0.0,349c070f8984a0fd8bd8b700be2d0d35,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,aug_0_6637.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6637.jpg,224,224,156.15,52.13,123.98,1.93,2.46,06e56b341e341ded2f86c2f49cc075f4,OK
train,healthy_nails,aug_0_6753.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6753.jpg,224,224,228.56,39.16,51.71,56.22,0.0,08673e80adfb2f5aa6d3d8358dccc61f,VERY_BRIGHT
train,healthy_nails,aug_0_6831.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6831.jpg,224,224,167.92,75.74,204.18,25.46,0.62,9829b00925d27933eac7564844bf9b24,OK
train,healthy_nails,aug_0_6952.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_6952.jpg,224,224,192.12,63.53,267.75,30.05,0.33,d75e7f2de6c3f9f51fbafb9400282cb7,OK
train,healthy_nails,aug_0_718.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_718.jpg,224,224,216.62,45.71,139.54,41.98,0.0,54dbb0ab15049434f1ba51d5bfde3f41,OK
train,healthy_nails,aug_0_7194.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_7194.jpg,224,224,223.56,41.59,55.23,48.9,0.0,fa645ffbe1f42a3b51c58d3a414753b7,VERY_BRIGHT
train,healthy_nails,aug_0_7282.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_7282.jpg,224,224,235.05,37.64,115.32,69.17,0.0,beef572b80423fe6e7adf04d295e2d85,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,aug_0_7296.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_7296.jpg,224,224,175.66,57.09,118.6,6.68,0.03,e711242c3319b6faa0f2899699b40ebe,OK
train,healthy_nails,aug_0_7311.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_7311.jpg,224,224,179.9,51.29,61.16,11.42,0.17,e234075490216fc5383275619b0afff2,OK
train,healthy_nails,aug_0_7313.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_7313.jpg,224,224,193.35,54.96,137.38,19.39,1.83,954bc5a915f5a89bba5c09f074f4ec83,OK
train,healthy_nails,aug_0_7447.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_7447.jpg,224,224,202.52,52.24,98.02,17.9,0.01,b2331fab38d413babd7df334dcecb368,OK
train,healthy_nails,aug_0_7693.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_7693.jpg,224,224,217.92,47.02,137.78,46.84,0.0,03aefb447b5bc9e8fdd83309a00dfd97,OK
train,healthy_nails,aug_0_77.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_77.jpg,224,224,193.71,53.84,116.61,12.77,0.0,09064a0e9bef1a9344ab6437e1feaffa,OK
train,healthy_nails,aug_0_7703.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_7703.jpg,224,224,212.29,49.41,184.55,38.83,0.0,544fd3cae09b7324dcd55262e8115b6a,OK
train,healthy_nails,aug_0_7737.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_7737.jpg,224,224,240.08,29.27,54.8,73.26,0.0,91626c1a2dfe152127c174984f859b41,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,aug_0_7813.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_7813.jpg,224,224,207.78,48.05,167.63,32.28,0.0,5717e479a00d067181798babbae05188,OK
train,healthy_nails,aug_0_7970.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_7970.jpg,224,224,198.66,56.54,86.33,29.97,0.47,510455e67a286e03d45076c89cf3626b,OK
train,healthy_nails,aug_0_7987.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_7987.jpg,224,224,223.75,45.84,141.86,58.01,0.0,41264de927e30229146748b6f8dfe004,VERY_BRIGHT
train,healthy_nails,aug_0_8046.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_8046.jpg,224,224,163.12,66.16,97.2,10.45,0.04,9183e2880cf7b3127be93d254f8b0046,OK
train,healthy_nails,aug_0_8099.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_8099.jpg,224,224,204.26,37.27,96.85,13.13,0.0,7790c674cf81255d2ad29e7f4501a9e1,OK
train,healthy_nails,aug_0_8165.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_8165.jpg,224,224,223.21,35.89,102.72,39.39,0.0,129f18cad903009042140096138933d2,VERY_BRIGHT
train,healthy_nails,aug_0_8263.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_8263.jpg,224,224,240.95,25.32,87.06,67.92,0.0,1265de2c57111f01147279e3bae6bef4,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,aug_0_8408.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_8408.jpg,224,224,191.46,67.97,188.19,38.85,0.0,813d981aa5af9634c8a199248ce57077,OK
train,healthy_nails,aug_0_8421.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_8421.jpg,224,224,199.13,63.57,262.14,42.24,0.0,c83e5900446e17b18d466c8abbca2d50,OK
train,healthy_nails,aug_0_8460.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_8460.jpg,224,224,230.44,31.37,72.07,49.77,0.0,7b87a3beb62a80ff40301abb3aaef464,VERY_BRIGHT
train,healthy_nails,aug_0_8536.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_8536.jpg,224,224,223.94,45.01,176.1,57.76,0.0,0dfe8443264cc453472ede5bc76864f7,VERY_BRIGHT
train,healthy_nails,aug_0_8744.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_8744.jpg,224,224,230.55,32.23,82.18,50.06,0.0,ec21ce3cfd55d71614715b0d1d6fd2a7,VERY_BRIGHT
train,healthy_nails,aug_0_8748.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\aug_0_8748.jpg,224,224,177.07,58.85,93.21,7.27,0.06,cddd501b9a20d689273216372f8328e4,OK
